cumulative_flops,cumulative_flops_val_sync,decoder_loss,epoch,step,train/gradient_norm,train_loss,val/decoder_loss,val_loss
4.410991972030874e+16,,0.6938378214836121,58,1699,5.848622798919678,0.07124552875757217,,
4.540727042664038e+16,,0.6521889567375183,60,1749,6.583446502685547,0.06744815409183502,,
4.670462113297203e+16,,0.8238264918327332,62,1799,6.709583759307861,0.0406181737780571,,
4.800197183930368e+16,,0.6620803475379944,63,1849,6.863860130310059,0.05849931761622429,,
4.929932254563533e+16,,0.9077767133712769,65,1899,7.635256767272949,0.059700608253479004,,
5.059667325196698e+16,,0.8564555048942566,67,1949,7.3540873527526855,0.0473114475607872,,
5.189402395829862e+16,,1.370011806488037,68,1999,11.114619255065918,0.05122501403093338,,
,5.189402395829862e+16,,68,1999,,,28.305896759033203,0.6175034642219543
5.319137466463027e+16,,0.8255922198295593,70,2049,6.936850070953369,0.05312175303697586,,
5.448872537096192e+16,,0.7073037028312683,72,2099,17.177640914916992,0.05185672640800476,,
5.578607607729357e+16,,0.6936258673667908,74,2149,8.995550155639648,0.03998667746782303,,
5.708342678362522e+16,,0.5773846507072449,75,2199,5.066629409790039,0.04276607185602188,,
5.838077748995686e+16,,0.6496481895446777,77,2249,5.682882308959961,0.039891842752695084,,
5.967812819628851e+16,,0.6531659364700317,79,2299,8.481976509094238,0.03125976398587227,,
6.097547890262016e+16,,0.8202207684516907,81,2349,5.874033451080322,0.032133325934410095,,
6.227282960895181e+16,,0.5942676663398743,82,2399,8.404547691345215,0.03875156491994858,,
6.357018031528346e+16,,0.6059949994087219,84,2449,4.553669452667236,0.03429693356156349,,
6.48675310216151e+16,,0.7997990846633911,86,2499,6.629733562469482,0.03473106026649475,,
6.616488172794675e+16,,0.8825721144676208,87,2549,6.233920574188232,0.027224712073802948,,
6.74622324342784e+16,,0.7832381725311279,89,2599,4.754861354827881,0.024522099643945694,,
6.875958314061005e+16,,0.6710851788520813,91,2649,10.173097610473633,0.026269327849149704,,
7.00569338469417e+16,,0.5850973725318909,93,2699,6.38915491104126,0.030025815591216087,,
7.135428455327334e+16,,0.759756326675415,94,2749,5.2155985832214355,0.028858717530965805,,
7.26516309646377e+16,,0.7720543742179871,96,2799,5.726095199584961,0.02818022109568119,,
7.394898596593664e+16,,1.0782365798950195,98,2849,10.196799278259277,0.028375377878546715,,
7.5246332377301e+16,,0.5854122042655945,99,2899,4.235111713409424,0.019667528569698334,,
7.654368737859994e+16,,0.7526927590370178,101,2949,6.4035749435424805,0.030195679515600204,,
7.784103378996429e+16,,0.6962442398071289,103,2999,9.536978721618652,0.026567451655864716,,
,7.784103378996429e+16,,103,2999,,,30.53513526916504,0.5748615860939026
7.913838879126323e+16,,0.6621999740600586,105,3049,6.150516033172607,0.016722505912184715,,
8.043573520262758e+16,,0.6858828067779541,106,3099,8.1013822555542,0.034509941935539246,,
8.173309020392653e+16,,0.6351140141487122,108,3149,5.5386552810668945,0.02898663841187954,,
8.303043661529088e+16,,0.5939642190933228,110,3199,5.049914836883545,0.028805401176214218,,
8.432779161658982e+16,,0.753471851348877,112,3249,5.854798793792725,0.015089970082044601,,
8.562513802795418e+16,,0.6247228980064392,113,3299,5.607987403869629,0.01782928593456745,,
8.692249302925312e+16,,0.8303400278091431,115,3349,7.374022960662842,0.027013719081878662,,
8.821983944061747e+16,,0.8317517042160034,117,3399,11.2058744430542,0.017989927902817726,,
