pert,model,pds,cosine,pearson_top500,h1_l1,tier
FOXH1,gate_x64,0.6466666666666667,-0.024307737059741433,-0.031718339492196795,230.32673769337634,weak
GSK3B,gene_direct_x64,0.5866666666666667,0.13582481070107003,0.1926139300494518,470.1700807137131,mid
GSK3B,wavg_x64,0.6066666666666667,0.1320946622755031,0.18861198369935653,470.1700807137131,mid
GSK3B,gate_x64,0.5866666666666667,0.13582481070107003,0.1926139300494518,470.1700807137131,mid
HAT1,gene_direct_x64,0.6599999999999999,0.06485077516934376,0.09568003097063804,286.0246947731539,mid
HAT1,wavg_x64,0.6599999999999999,0.06485077516934376,0.09568003097063804,286.0246947731539,mid
HAT1,gate_x64,0.6599999999999999,0.06485077516934376,0.09568003097063804,286.0246947731539,mid
HIRA,gene_direct_x64,0.9066666666666666,0.16496959479747733,0.14618968314800485,231.6152470666948,weak
HIRA,wavg_x64,0.9066666666666666,0.16408901090846365,0.15263130204122724,231.6152470666948,weak
HIRA,gate_x64,0.9066666666666666,0.16496959479747733,0.14618968314800485,231.6152470666948,weak
HMGB2,gene_direct_x64,0.43333333333333335,0.1375102380855,0.5285784629212085,453.0842036236172,mid
HMGB2,wavg_x64,0.43333333333333335,0.1375102380855,0.5285784629212085,453.0842036236172,mid
HMGB2,gate_x64,0.43333333333333335,0.1375102380855,0.5285784629212085,453.0842036236172,mid
HMGN1,gene_direct_x64,0.9666666666666667,0.41843423187711054,0.5856094893637416,137.00360577514948,weak
HMGN1,wavg_x64,0.9666666666666667,0.41843423187711054,0.5856094893637416,137.00360577514948,weak
HMGN1,gate_x64,0.9666666666666667,0.41843423187711054,0.5856094893637416,137.00360577514948,weak
HSBP1,gene_direct_x64,0.26,0.24909414959080808,0.3548177093691513,721.4182504001765,strong
HSBP1,wavg_x64,0.26,0.24909414959080808,0.3548177093691513,721.4182504001765,strong
HSBP1,gate_x64,0.26,0.24909414959080808,0.3548177093691513,721.4182504001765,strong
IDE,gene_direct_x64,0.9666666666666667,0.09025022934192217,0.13540514890073532,136.25630480664404,weak
IDE,wavg_x64,0.9666666666666667,0.09025022934192217,0.13540514890073532,136.25630480664404,weak
IDE,gate_x64,0.9666666666666667,0.09025022934192217,0.13540514890073532,136.25630480664404,weak
IGF2R,gene_direct_x64,0.9866666666666667,0.11660898945422712,0.11456976814017378,146.31560550234462,weak
IGF2R,wavg_x64,0.9866666666666667,0.11660898945422712,0.11456976814017378,146.31560550234462,weak
IGF2R,gate_x64,0.9866666666666667,0.11660898945422712,0.11456976814017378,146.31560550234462,weak
IKBKG,gene_direct_x64,0.6866666666666666,0.00015652745991687298,0.021280725795702535,279.0922283561413,weak
IKBKG,wavg_x64,0.6866666666666666,0.000156527459916875,0.021280725795702535,279.0922283561413,weak
IKBKG,gate_x64,0.6866666666666666,0.00015652745991687298,0.021280725795702535,279.0922283561413,weak
INSIG1,gene_direct_x64,0.4,0.15209620734104654,0.23003592690176417,657.1258275878317,strong
INSIG1,wavg_x64,0.4,0.15209620734104654,0.23003592690176417,657.1258275878317,strong
INSIG1,gate_x64,0.4,0.15209620734104654,0.23003592690176417,657.1258275878317,strong
IRF3,gene_direct_x64,0.84,0.16941132479182786,0.3323902132876466,170.65812800336062,weak
IRF3,wavg_x64,0.84,0.16941132479182786,0.3323902132876466,170.65812800336062,weak
IRF3,gate_x64,0.84,0.16941132479182786,0.3323902132876466,170.65812800336062,weak
KAT2A,gene_direct_x64,0.21999999999999997,0.058577331184770015,0.0431137076950241,971.8105582567914,strong
KAT2A,wavg_x64,0.21999999999999997,0.058577331184770015,0.0431137076950241,971.8105582567914,strong
KAT2A,gate_x64,0.21999999999999997,0.058577331184770015,0.0431137076950241,971.8105582567914,strong
KDM1A,gene_direct_x64,1.0,0.440455734026065,0.42677807771409,2727.563420060924,strong
KDM1A,wavg_x64,1.0,0.42884423314312886,0.4346050191195833,2727.563420060924,strong
KDM1A,gate_x64,1.0,0.440455734026065,0.42677807771409,2727.563420060924,strong
KDM2B,gene_direct_x64,0.6533333333333333,0.07801068127560253,0.032429339953460846,326.13743525515565,mid
KDM2B,wavg_x64,0.6533333333333333,0.07801068127560253,0.032429339953460846,326.13743525515565,mid
KDM2B,gate_x64,0.6533333333333333,0.07801068127560253,0.032429339953460846,326.13743525515565,mid
KIF1B,gene_direct_x64,0.9666666666666667,0.08871280808122338,0.16129422421745318,119.0705179575707,weak
KIF1B,wavg_x64,0.9666666666666667,0.08871280808122338,0.16129422421745318,119.0705179575707,weak
KIF1B,gate_x64,0.9666666666666667,0.08871280808122338,0.16129422421745318,119.0705179575707,weak
KIF20A,gene_direct_x64,0.9333333333333333,0.25346700365894825,0.4422193293479464,1201.254221269788,strong
