pert,lam,pds,des
RAF1,0.0,0.5266666666666666,0.04
RAF1,0.25,0.23333333333333328,0.037894736842105266
RAF1,0.5,0.24,0.04421052631578947
RAF1,1.0,0.22666666666666668,0.05052631578947368
RAF1,2.0,0.17333333333333334,0.0863157894736842
RNF2,0.0,0.22666666666666668,0.5486100204177792
RNF2,0.25,0.7666666666666666,0.5575624312863201
RNF2,0.5,0.7866666666666666,0.5723260562274226
RNF2,1.0,0.8133333333333334,0.5809643474163656
RNF2,2.0,0.8066666666666666,0.5982409297942516
RNF20,0.0,1.0,0.3245501285347044
RNF20,0.25,1.0,0.32005141388174807
RNF20,0.5,0.9933333333333333,0.31876606683804626
RNF20,1.0,0.98,0.31748071979434445
RNF20,2.0,0.9333333333333333,0.31458868894601544
RRM1,0.0,0.5733333333333333,0.047058823529411764
RRM1,0.25,0.046666666666666634,0.04411764705882353
RRM1,0.5,0.033333333333333326,0.041176470588235294
RRM1,1.0,0.026666666666666616,0.03823529411764706
RRM1,2.0,0.033333333333333326,0.05
SAFB,0.0,0.42000000000000004,0.32048263684520306
SAFB,0.25,0.7666666666666666,0.3225426721600942
SAFB,0.5,0.74,0.3287227781047675
SAFB,1.0,0.7133333333333334,0.35609181871689227
SAFB,2.0,0.6866666666666666,0.38875809299587993
SALL4,0.0,0.09999999999999998,0.34541741128414605
SALL4,0.25,0.9066666666666666,0.3487362777635946
SALL4,0.5,0.9133333333333333,0.35154454940005103
SALL4,1.0,0.92,0.3755425070206791
SALL4,2.0,0.92,0.416645391881542
SDC1,0.0,0.9066666666666666,0.1606714628297362
SDC1,0.25,0.8066666666666666,0.17026378896882494
SDC1,0.5,0.7933333333333333,0.16546762589928057
SDC1,1.0,0.76,0.1774580335731415
SDC1,2.0,0.7466666666666666,0.19184652278177458
SEC62,0.0,0.9466666666666667,0.49111828825191767
SEC62,0.25,0.9466666666666667,0.5010092854259185
SEC62,0.5,0.9333333333333333,0.511707710940654
SEC62,1.0,0.9266666666666666,0.5361324182478805
SEC62,2.0,0.9133333333333333,0.5726685506661284
SHPRH,0.0,0.6133333333333333,0.2647058823529412
SHPRH,0.25,0.64,0.2647058823529412
SHPRH,0.5,0.6266666666666667,0.2647058823529412
SHPRH,1.0,0.62,0.2647058823529412
SHPRH,2.0,0.6266666666666667,0.23529411764705882
SIN3B,0.0,0.23333333333333328,0.6223105385774976
SIN3B,0.25,0.98,0.6350555022612032
SIN3B,0.5,0.96,0.6456077840208305
SIN3B,1.0,0.9333333333333333,0.6525969576538303
SIN3B,2.0,0.9,0.6591750034260655
SIX4,0.0,0.5866666666666667,0.03225806451612903
SIX4,0.25,0.38,0.03225806451612903
SIX4,0.5,0.3733333333333333,0.03225806451612903
SIX4,1.0,0.38,0.053763440860215055
SIX4,2.0,0.4066666666666666,0.06989247311827956
SLC25A3,0.0,0.2666666666666667,0.12990196078431374
SLC25A3,0.25,0.21333333333333337,0.13398692810457516
SLC25A3,0.5,0.18000000000000005,0.14133986928104575
SLC25A3,1.0,0.16000000000000003,0.14460784313725492
SLC25A3,2.0,0.15333333333333332,0.16176470588235295
SLC39A6,0.0,0.19333333333333336,0.6508686376104846
SLC39A6,0.25,1.0,0.6615361170374886
SLC39A6,0.5,0.9866666666666667,0.6654983236818043
SLC39A6,1.0,0.98,0.6747942700396221
SLC39A6,2.0,0.98,0.6975007619628162
SMAGP,0.0,0.6666666666666667,0.13400335008375208
SMAGP,0.25,0.76,0.13986599664991625
SMAGP,0.5,0.62,0.17336683417085427
SMAGP,1.0,0.5733333333333333,0.2202680067001675
SMAGP,2.0,0.54,0.24623115577889448
SMARCA4,0.0,0.046666666666666634,0.681316348195329
SMARCA4,0.25,0.8866666666666667,0.7669851380042463
SMARCA4,0.5,0.9666666666666667,0.7664543524416136
SMARCA4,1.0,0.9533333333333334,0.7650743099787686
SMARCA4,2.0,0.9533333333333334,0.7640127388535032
SMARCA5,0.0,0.15333333333333332,0.5560879368658399
SMARCA5,0.25,0.7866666666666666,0.5711668545659526
SMARCA5,0.5,0.8200000000000001,0.5796223224351748
SMARCA5,1.0,0.8200000000000001,0.5920236753100339
SMARCA5,2.0,0.8,0.6011837655016911
SOX2,0.0,0.07999999999999996,0.5634264538198404
SOX2,0.25,0.6333333333333333,0.5639965792474344
SOX2,0.5,0.8066666666666666,0.5715507411630558
SOX2,1.0,0.84,0.5820980615735462
SOX2,2.0,0.84,0.5910775370581528
SSBP1,0.0,0.9066666666666666,0.2955301071296638
SSBP1,0.25,0.88,0.30845954931658665
SSBP1,0.5,0.7866666666666666,0.3250831178426302
SSBP1,1.0,0.74,0.3786479497598818
SSBP1,2.0,0.7133333333333334,0.42851865533801253
STAG2,0.0,0.2733333333333333,0.4604051565377532
STAG2,0.25,0.8266666666666667,0.4677716390423573
STAG2,0.5,0.8066666666666666,0.4841620626151013
STAG2,1.0,0.8066666666666666,0.5086556169429097
