pert,model,des,k_true,h1_l1,tier
ETV4,gene_top50,0.1476713366149186,2641,820.8018508805653,strong
ETV4,gene_top100,0.15259371450208253,2641,820.8018508805653,strong
ETV4,gene_top200,0.15903067020068157,2641,820.8018508805653,strong
ETV4,gene_top500,0.1783415372964786,2641,820.8018508805653,strong
EWSR1,gene_direct,0.507661799170723,5547,838.9224797488241,strong
EWSR1,h1_mean,0.5705786911844241,5547,838.9224797488241,strong
EWSR1,gene_top50,0.32269695330809445,5547,838.9224797488241,strong
EWSR1,gene_top100,0.32486028483865154,5547,838.9224797488241,strong
EWSR1,gene_top200,0.3302686136650442,5547,838.9224797488241,strong
EWSR1,gene_top500,0.34054443843519017,5547,838.9224797488241,strong
FDPS,gene_direct,0.3334437086092715,3020,1123.996496214062,strong
FDPS,h1_mean,0.5105960264900662,3020,1123.996496214062,strong
FDPS,gene_top50,0.17880794701986755,3020,1123.996496214062,strong
FDPS,gene_top100,0.1827814569536424,3020,1123.996496214062,strong
FDPS,gene_top200,0.18774834437086094,3020,1123.996496214062,strong
FDPS,gene_top500,0.21026490066225165,3020,1123.996496214062,strong
FOXH1,gene_direct,0.018255578093306288,493,230.32673769337634,weak
FOXH1,h1_mean,0.11561866125760649,493,230.32673769337634,weak
FOXH1,gene_top50,0.02231237322515213,493,230.32673769337634,weak
FOXH1,gene_top100,0.02231237322515213,493,230.32673769337634,weak
FOXH1,gene_top200,0.02434077079107505,493,230.32673769337634,weak
FOXH1,gene_top500,0.018255578093306288,493,230.32673769337634,weak
GSK3B,gene_direct,0.2172211350293542,2555,470.1700807137131,mid
GSK3B,h1_mean,0.3041095890410959,2555,470.1700807137131,mid
GSK3B,gene_top50,0.1365949119373777,2555,470.1700807137131,mid
GSK3B,gene_top100,0.13581213307240705,2555,470.1700807137131,mid
GSK3B,gene_top200,0.14050880626223092,2555,470.1700807137131,mid
GSK3B,gene_top500,0.15459882583170254,2555,470.1700807137131,mid
HAT1,gene_direct,0.08171206225680934,771,286.0246947731539,mid
HAT1,h1_mean,0.185473411154345,771,286.0246947731539,mid
HAT1,gene_top50,0.055771725032425425,771,286.0246947731539,mid
HAT1,gene_top100,0.05966277561608301,771,286.0246947731539,mid
HAT1,gene_top200,0.07133592736705577,771,286.0246947731539,mid
HAT1,gene_top500,0.08041504539559015,771,286.0246947731539,mid
HIRA,gene_direct,0.08771929824561403,399,231.6152470666948,weak
HIRA,h1_mean,0.18546365914786966,399,231.6152470666948,weak
HIRA,gene_top50,0.05764411027568922,399,231.6152470666948,weak
HIRA,gene_top100,0.06265664160401002,399,231.6152470666948,weak
HIRA,gene_top200,0.06766917293233082,399,231.6152470666948,weak
HIRA,gene_top500,0.08771929824561403,399,231.6152470666948,weak
HMGB2,gene_direct,0.49396267837541163,4555,453.0842036236172,mid
HMGB2,h1_mean,0.6463227222832053,4555,453.0842036236172,mid
HMGB2,gene_top50,0.26037321624588367,4555,453.0842036236172,mid
HMGB2,gene_top100,0.2636663007683864,4555,453.0842036236172,mid
HMGB2,gene_top200,0.26915477497255763,4555,453.0842036236172,mid
HMGB2,gene_top500,0.2836443468715697,4555,453.0842036236172,mid
HMGN1,gene_direct,0.1,10,137.00360577514948,weak
HMGN1,h1_mean,0.0,10,137.00360577514948,weak
HMGN1,gene_top50,0.1,10,137.00360577514948,weak
HMGN1,gene_top100,0.1,10,137.00360577514948,weak
HMGN1,gene_top200,0.1,10,137.00360577514948,weak
HMGN1,gene_top500,0.1,10,137.00360577514948,weak
HSBP1,gene_direct,0.1473010064043916,1093,721.4182504001765,strong
HSBP1,h1_mean,0.3110704483074108,1093,721.4182504001765,strong
HSBP1,gene_top50,0.06404391582799634,1093,721.4182504001765,strong
HSBP1,gene_top100,0.06953339432753888,1093,721.4182504001765,strong
HSBP1,gene_top200,0.07868252516010979,1093,721.4182504001765,strong
HSBP1,gene_top500,0.09606587374199452,1093,721.4182504001765,strong
IDE,gene_direct,0.16666666666666666,12,136.25630480664404,weak
IDE,h1_mean,0.08333333333333333,12,136.25630480664404,weak
IDE,gene_top50,0.16666666666666666,12,136.25630480664404,weak
IDE,gene_top100,0.16666666666666666,12,136.25630480664404,weak
IDE,gene_top200,0.16666666666666666,12,136.25630480664404,weak
IDE,gene_top500,0.16666666666666666,12,136.25630480664404,weak
IGF2R,gene_direct,0.14285714285714285,14,146.31560550234462,weak
IGF2R,h1_mean,0.0,14,146.31560550234462,weak
IGF2R,gene_top50,0.14285714285714285,14,146.31560550234462,weak
IGF2R,gene_top100,0.14285714285714285,14,146.31560550234462,weak
IGF2R,gene_top200,0.14285714285714285,14,146.31560550234462,weak
IGF2R,gene_top500,0.14285714285714285,14,146.31560550234462,weak
IKBKG,gene_direct,0.06528189910979229,337,279.0922283561413,weak
IKBKG,h1_mean,0.228486646884273,337,279.0922283561413,weak
IKBKG,gene_top50,0.01483679525222552,337,279.0922283561413,weak
IKBKG,gene_top100,0.03560830860534125,337,279.0922283561413,weak
IKBKG,gene_top200,0.050445103857566766,337,279.0922283561413,weak
IKBKG,gene_top500,0.06528189910979229,337,279.0922283561413,weak
INSIG1,gene_direct,0.4636546184738956,4980,657.1258275878317,strong
INSIG1,h1_mean,0.5684738955823293,4980,657.1258275878317,strong
INSIG1,gene_top50,0.2817269076305221,4980,657.1258275878317,strong
INSIG1,gene_top100,0.28353413654618476,4980,657.1258275878317,strong
INSIG1,gene_top200,0.29036144578313255,4980,657.1258275878317,strong
INSIG1,gene_top500,0.2995983935742972,4980,657.1258275878317,strong
IRF3,gene_direct,0.06896551724137931,29,170.65812800336062,weak
IRF3,h1_mean,0.0,29,170.65812800336062,weak
IRF3,gene_top50,0.06896551724137931,29,170.65812800336062,weak
IRF3,gene_top100,0.06896551724137931,29,170.65812800336062,weak
IRF3,gene_top200,0.06896551724137931,29,170.65812800336062,weak
IRF3,gene_top500,0.06896551724137931,29,170.65812800336062,weak
KAT2A,gene_direct,0.6179560649474689,7329,971.8105582567914,strong
KAT2A,h1_mean,0.658480010915541,7329,971.8105582567914,strong
KAT2A,gene_top50,0.40960567608132076,7329,971.8105582567914,strong
KAT2A,gene_top100,0.4115158957565834,7329,971.8105582567914,strong
KAT2A,gene_top200,0.41260744985673353,7329,971.8105582567914,strong
KAT2A,gene_top500,0.4172465547823714,7329,971.8105582567914,strong
KDM1A,gene_direct,0.775405892964522,9978,2727.563420060924,strong
KDM1A,h1_mean,0.832431348967729,9978,2727.563420060924,strong
KDM1A,gene_top50,0.5435959110042092,9978,2727.563420060924,strong
KDM1A,gene_top100,0.544798556825015,9978,2727.563420060924,strong
KDM1A,gene_top200,0.546802966526358,9978,2727.563420060924,strong
KDM1A,gene_top500,0.5516135498095811,9978,2727.563420060924,strong
KDM2B,gene_direct,0.17162329615861213,1614,326.13743525515565,mid
KDM2B,h1_mean,0.35811648079306074,1614,326.13743525515565,mid
KDM2B,gene_top50,0.10223048327137546,1614,326.13743525515565,mid
KDM2B,gene_top100,0.10656753407682776,1614,326.13743525515565,mid
KDM2B,gene_top200,0.11400247831474597,1614,326.13743525515565,mid
KDM2B,gene_top500,0.12329615861214374,1614,326.13743525515565,mid
KIF1B,gene_direct,0.15384615384615385,13,119.0705179575707,weak
KIF1B,h1_mean,0.0,13,119.0705179575707,weak
KIF1B,gene_top50,0.15384615384615385,13,119.0705179575707,weak
KIF1B,gene_top100,0.15384615384615385,13,119.0705179575707,weak
KIF1B,gene_top200,0.15384615384615385,13,119.0705179575707,weak
KIF1B,gene_top500,0.15384615384615385,13,119.0705179575707,weak
KIF20A,gene_direct,0.37924392005778956,4153,1201.254221269788,strong
KIF20A,h1_mean,0.4459426920298579,4153,1201.254221269788,strong
KIF20A,gene_top50,0.23838189260775344,4153,1201.254221269788,strong
KIF20A,gene_top100,0.2415121598844209,4153,1201.254221269788,strong
KIF20A,gene_top200,0.2456055863231399,4153,1201.254221269788,strong
KIF20A,gene_top500,0.2607753431254515,4153,1201.254221269788,strong
KLF10,gene_direct,0.5362935928629359,4932,427.0441094544949,mid
KLF10,h1_mean,0.6415247364152473,4932,427.0441094544949,mid
KLF10,gene_top50,0.2808191403081914,4932,427.0441094544949,mid
KLF10,gene_top100,0.2822384428223844,4932,427.0441094544949,mid
KLF10,gene_top200,0.2875101378751014,4932,427.0441094544949,mid
KLF10,gene_top500,0.3004866180048662,4932,427.0441094544949,mid
LRPPRC,gene_direct,0.3988979396262578,4174,537.3005965742886,mid
LRPPRC,h1_mean,0.5764254911356014,4174,537.3005965742886,mid
