pert,model,pds,cosine,pearson_top500,h1_l1,ref_l1
HMGB2,gene_direct_x256,0.44666666666666666,0.1375102380855,0.5285784629212085,453.0842036236172,212.29459595307708
HMGB2,gene_top100_x16,0.41333333333333333,0.3320511787994407,0.585375585533364,453.0842036236172,212.29459595307708
HMGB2,gene_top100_x64,0.41333333333333333,0.3320511787994407,0.585375585533364,453.0842036236172,212.29459595307708
HMGB2,gene_top100_x256,0.41333333333333333,0.3320511787994407,0.585375585533364,453.0842036236172,212.29459595307708
HMGB2,gene_top200_x16,0.41333333333333333,0.3008087654882808,0.5550241658379952,453.0842036236172,212.29459595307708
HMGB2,gene_top200_x64,0.41333333333333333,0.3008087654882808,0.5550241658379952,453.0842036236172,212.29459595307708
HMGB2,gene_top200_x256,0.41333333333333333,0.3008087654882808,0.5550241658379952,453.0842036236172,212.29459595307708
HMGB2,prog,0.3933333333333333,-0.40190666812410164,0.1648518376736099,453.0842036236172,212.29459595307708
HMGN1,zero,0.9,0.0,0.0,137.00360577514948,242.25331159681082
HMGN1,h1_mean,0.76,-0.10592902419924516,0.006040632635073271,137.00360577514948,242.25331159681082
HMGN1,gene_direct,0.9466666666666667,0.41843423187711054,0.5856094893637416,137.00360577514948,242.25331159681082
HMGN1,gene_scaled,0.9066666666666666,0.4184342318771106,0.5856094893637421,137.00360577514948,242.25331159681082
HMGN1,gene_top50,0.9133333333333333,0.7289817249859302,0.7794077604909806,137.00360577514948,242.25331159681082
HMGN1,gene_top50_scaled,0.9066666666666666,0.7289817249859303,0.7794077604909798,137.00360577514948,242.25331159681082
HMGN1,gene_top100,0.9133333333333333,0.6874304940245961,0.732973228112085,137.00360577514948,242.25331159681082
HMGN1,gene_top100_scaled,0.9066666666666666,0.6874304940245962,0.7329732281120852,137.00360577514948,242.25331159681082
HMGN1,gene_top200,0.9266666666666666,0.6353515762191009,0.6754363380681828,137.00360577514948,242.25331159681082
HMGN1,gene_top200_scaled,0.9066666666666666,0.635351576219101,0.6754363380681843,137.00360577514948,242.25331159681082
HMGN1,gene_top500,0.9333333333333333,0.5570875573741277,0.5903298439604427,137.00360577514948,242.25331159681082
HMGN1,gene_top500_scaled,0.9066666666666666,0.5570875573741276,0.5903298439604434,137.00360577514948,242.25331159681082
HMGN1,gene_direct_x2,0.9666666666666667,0.41843423187711054,0.5856094893637416,137.00360577514948,242.25331159681082
HMGN1,gene_direct_x4,0.98,0.41843423187711054,0.5856094893637416,137.00360577514948,242.25331159681082
HMGN1,gene_direct_x8,0.98,0.41843423187711054,0.5856094893637416,137.00360577514948,242.25331159681082
HMGN1,gene_direct_x16,0.9666666666666667,0.41843423187711054,0.5856094893637416,137.00360577514948,242.25331159681082
HMGN1,gene_direct_x32,0.9666666666666667,0.41843423187711054,0.5856094893637416,137.00360577514948,242.25331159681082
HMGN1,gene_direct_x64,0.9666666666666667,0.41843423187711054,0.5856094893637416,137.00360577514948,242.25331159681082
HMGN1,gene_direct_x128,0.9666666666666667,0.41843423187711054,0.5856094893637416,137.00360577514948,242.25331159681082
HMGN1,gene_direct_x256,0.9666666666666667,0.41843423187711054,0.5856094893637416,137.00360577514948,242.25331159681082
HMGN1,gene_top100_x16,0.9333333333333333,0.6874304940245961,0.732973228112085,137.00360577514948,242.25331159681082
HMGN1,gene_top100_x64,0.9333333333333333,0.6874304940245961,0.732973228112085,137.00360577514948,242.25331159681082
HMGN1,gene_top100_x256,0.9333333333333333,0.6874304940245961,0.732973228112085,137.00360577514948,242.25331159681082
HMGN1,gene_top200_x16,0.9333333333333333,0.6353515762191009,0.6754363380681828,137.00360577514948,242.25331159681082
HMGN1,gene_top200_x64,0.9333333333333333,0.6353515762191009,0.6754363380681828,137.00360577514948,242.25331159681082
HMGN1,gene_top200_x256,0.9333333333333333,0.6353515762191009,0.6754363380681828,137.00360577514948,242.25331159681082
HMGN1,prog,0.9466666666666667,0.09333341710872126,-0.0013608234565784098,137.00360577514948,242.25331159681082
HSBP1,zero,0.2466666666666667,0.0,0.0,721.4182504001765,275.0048430673778
HSBP1,h1_mean,0.2466666666666667,0.4832745620634947,0.36473577149567543,721.4182504001765,275.0048430673778
HSBP1,gene_direct,0.26,0.24909414959080808,0.3548177093691513,721.4182504001765,275.0048430673778
HSBP1,gene_scaled,0.2533333333333333,0.2490941495908081,0.3548177093691507,721.4182504001765,275.0048430673778
HSBP1,gene_top50,0.26,0.3172093219031506,0.42350264339385935,721.4182504001765,275.0048430673778
HSBP1,gene_top50_scaled,0.2466666666666667,0.31720932190315065,0.42350264339385807,721.4182504001765,275.0048430673778
HSBP1,gene_top100,0.26,0.30558214991609733,0.40691937370541564,721.4182504001765,275.0048430673778
HSBP1,gene_top100_scaled,0.2466666666666667,0.3055821499160974,0.4069193737054145,721.4182504001765,275.0048430673778
HSBP1,gene_top200,0.26,0.2943454108393575,0.38174759876357356,721.4182504001765,275.0048430673778
HSBP1,gene_top200_scaled,0.2466666666666667,0.29434541083935756,0.3817475987635739,721.4182504001765,275.0048430673778
HSBP1,gene_top500,0.26,0.27233431441382694,0.33883156544550386,721.4182504001765,275.0048430673778
HSBP1,gene_top500_scaled,0.2466666666666667,0.2723343144138269,0.3388315654455044,721.4182504001765,275.0048430673778
HSBP1,gene_direct_x2,0.26,0.24909414959080808,0.3548177093691513,721.4182504001765,275.0048430673778
HSBP1,gene_direct_x4,0.2666666666666667,0.24909414959080808,0.3548177093691513,721.4182504001765,275.0048430673778
HSBP1,gene_direct_x8,0.2533333333333333,0.24909414959080808,0.3548177093691513,721.4182504001765,275.0048430673778
