ref,pert,pearson_full,pearson_top500,sign_agree_top200,sign_cos_top200,h1_l1,ref_l1
k562_gwps,CAST,-0.04631046057780279,-0.054382384690484634,0.15384616,0.1538461595773697,337.5499,334.2421
k562_gwps,CDCA2,0.05183020539218386,0.13482086457944106,-0.03517588,-0.035175878554582596,213.50089,295.4079
k562_gwps,CENPO,0.09037269311545397,0.2137084047533662,0.010204081,0.010204081423580647,297.83835,229.34607
k562_gwps,CHMP3,0.016439599481750167,0.02045633203300177,0.0,0.0,390.7771,592.7069
k562_gwps,CLDN6,0.035271650321504124,0.025945619719761413,0.18686868,0.18686868250370026,229.63225,320.59705
k562_gwps,CLDN7,0.02821890877174633,0.0629571135191483,0.03787879,0.03787878900766373,229.35458,288.21814
k562_gwps,CREG1,0.13729541659001673,0.24665739439563691,0.12562814,0.12562814354896545,131.32643,197.46289
k562_gwps,DAXX,0.15290662580414496,0.23428201180087982,0.19791667,0.1979166716337204,284.6159,221.75433
k562_gwps,DHCR24,0.13983142167690588,0.21568671577942178,-0.007614213,-0.007614213041961193,219.41368,270.90054
k562_gwps,DHX36,0.30325384640744724,0.4180908259975611,0.5445026,0.5445026159286499,1279.046,348.00055
k562_gwps,DLG5,0.04653487613397402,0.13194613784202233,-0.030612245,-0.030612245202064514,345.2914,234.46336
k562_gwps,DNAJA3,0.34728670487136637,0.3884155175283732,0.60784316,0.6078431606292725,1354.553,525.63794
k562_gwps,DNMT1,0.12418731174791614,0.1445664980992577,0.20565553,0.2056555300951004,1217.1913,319.76025
k562_gwps,EID2,0.03636708982040789,0.0394226867639959,0.08101266,0.08101265877485275,182.26111,291.40103
k562_gwps,EIF4B,0.21515659185607192,0.3393908404811619,0.26233765,0.26233765482902527,503.79773,352.22852
k562_gwps,EPB41L2,0.1723086197860826,0.22843262683337973,0.29815304,0.2981530427932739,1054.3738,262.6617
k562_gwps,EPHB4,0.06867812973487168,0.1231376196283087,0.17585301,0.17585301399230957,773.07654,210.03168
k562_gwps,ETV4,0.1956222489374307,0.2061214310331773,0.26142132,0.2614213228225708,820.8019,773.5987
k562_gwps,EWSR1,0.18797376889872228,0.3310447119078451,0.30788803,0.3078880310058594,838.9225,293.01965
k562_gwps,FDPS,0.08588911915803961,0.08313996768129055,0.19592875,0.19592875242233276,1123.9965,821.5751
k562_gwps,FOXH1,-0.023667065088582778,-0.031718339492196795,-0.04761905,-0.0476190485060215,230.32674,190.73239
k562_gwps,GSK3B,0.0671753564802458,0.0951079314123877,0.07672634,0.07672633975744247,470.17007,322.0114
k562_gwps,HAT1,0.057613137090090895,0.09568003097063804,0.10941476,0.10941475629806519,286.0247,634.4069
k562_gwps,HIRA,0.04986756825846706,0.07526328859595553,0.04871795,0.04871794953942299,231.61523,179.34982
k562_gwps,HMGB2,0.20326256835632656,0.5285784629212085,-0.051413883,-0.0514138825237751,453.0842,212.29459
k562_gwps,HMGN1,0.4162006356182513,0.5856094893637416,0.13705584,0.13705584406852722,137.0036,242.25331
k562_gwps,HSBP1,0.2404725172517757,0.35481770936915125,0.29792747,0.29792746901512146,721.4182,275.00485
k562_gwps,IDE,0.08766184533348793,0.1354051489007353,-0.04568528,-0.04568528011441231,136.25632,198.80621
k562_gwps,IGF2R,0.09859546884017047,0.11456976814017378,0.13670886,0.13670885562896729,146.31561,211.04529
k562_gwps,IKBKG,0.006527899902910727,0.021280725795702532,-0.030379746,-0.030379746109247208,279.09222,233.04062
k562_gwps,INSIG1,0.1500411999395194,0.2300359269017642,0.25396827,0.2539682686328888,657.1258,323.14282
k562_gwps,IRF3,0.17350164357299105,0.3323902132876466,-0.038265307,-0.03826530650258064,170.65813,176.6395
k562_gwps,KAT2A,0.04975197753398744,0.0431137076950241,0.1122449,0.11224489659070969,971.81055,339.83728
k562_gwps,KDM1A,0.35118025620891125,0.3252720742234655,0.42746115,0.4274611473083496,2727.5635,801.80884
k562_gwps,KDM2B,0.053051600765307204,0.032429339953460846,0.10886076,0.10886076092720032,326.13742,191.25552
k562_gwps,KIF1B,0.08833540105286566,0.16129422421745318,-0.050632913,-0.050632912665605545,119.07052,197.48074
k562_gwps,KIF20A,0.19186353575326315,0.23804604884764557,0.31958762,0.3195876181125641,1201.2542,382.86377
k562_gwps,KLF10,0.055463974888667,-0.005224824792979406,0.17336683,0.17336682975292206,427.0441,149.23474
k562_gwps,LRPPRC,0.27088389165720067,0.3848125364958243,0.30645162,0.30645161867141724,537.3006,379.68182
k562_gwps,LZTR1,0.07400234389423563,0.09130706665081986,0.15143603,0.15143603086471558,528.3227,280.83688
k562_gwps,MAP1B,0.09404623884139034,0.3540699852694894,-0.21265823,-0.21265822649002075,208.19412,241.63593
k562_gwps,MAP3K7,0.04544458604889875,0.09374361246362141,0.0,0.0,147.09042,251.6474
